@timestamp,Client_IP,Status_code
"Jul 5, 2022 @ 16:16:00.418",172.23.136.29,503
"Jul 5, 2022 @ 16:16:00.418",172.23.136.29,503
"Jul 5, 2022 @ 16:16:00.418",172.23.136.29,503
"Jul 5, 2022 @ 16:02:54.596",172.23.136.29,503
"Jul 5, 2022 @ 16:00:54.458",172.23.136.29,503
"Jul 5, 2022 @ 15:59:59.394",172.23.136.29,503
"Jul 5, 2022 @ 15:58:54.331",172.23.136.29,503
"Jul 5, 2022 @ 15:58:54.331",172.23.136.29,503
"Jul 5, 2022 @ 15:57:59.293",172.23.136.29,503
"Jul 5, 2022 @ 15:55:59.195",172.23.136.29,503
"Jul 5, 2022 @ 15:55:04.146",172.23.136.29,503
"Jul 5, 2022 @ 15:55:04.146",172.23.136.29,503
"Jul 5, 2022 @ 15:53:59.053",172.23.136.29,503
"Jul 5, 2022 @ 15:53:03.983",172.23.136.29,503
"Jul 5, 2022 @ 15:51:03.841",172.23.136.29,503
"Jul 5, 2022 @ 15:51:03.841",172.23.136.29,503
"Jul 5, 2022 @ 15:49:58.806",172.23.136.29,503
"Jul 5, 2022 @ 15:49:58.806",172.23.136.29,503
"Jul 5, 2022 @ 15:49:58.806",172.23.136.29,503
"Jul 5, 2022 @ 15:35:58.089",172.23.136.29,503
"Jul 5, 2022 @ 15:33:57.979",172.23.136.29,503
"Jul 5, 2022 @ 15:31:57.861",172.23.136.29,503
"Jul 5, 2022 @ 15:29:57.744",172.23.136.29,503
"Jul 5, 2022 @ 15:29:02.691",172.23.136.29,503
"Jul 5, 2022 @ 15:27:57.612",172.23.136.29,503
"Jul 5, 2022 @ 15:25:57.500",172.23.136.29,503
"Jul 5, 2022 @ 15:21:02.163",172.23.136.29,503
"Jul 5, 2022 @ 15:13:01.686",172.23.136.29,503
"Jul 5, 2022 @ 15:13:01.686",172.23.136.29,503
"Jul 5, 2022 @ 15:11:56.628",172.23.136.29,503
"Jul 5, 2022 @ 15:05:56.274",172.23.136.29,503
"Jul 5, 2022 @ 15:01:00.922",172.23.136.29,503
"Jul 5, 2022 @ 14:53:00.382",172.23.136.29,503
"Jul 5, 2022 @ 14:49:55.174",172.23.136.29,503
"Jul 5, 2022 @ 14:43:54.858",172.23.136.29,503
"Jul 5, 2022 @ 14:33:54.235",172.23.136.29,503
"Jul 5, 2022 @ 14:32:59.191",172.23.136.29,503
"Jul 5, 2022 @ 14:26:58.820",172.23.136.29,503
"Jul 5, 2022 @ 14:16:58.278",172.23.136.29,503
"Jul 5, 2022 @ 14:12:58.091",172.23.136.29,503
